Date,Station,run,Cyanobacteria,Pelago,Hapto,Prasinophytes-2,Prasinophytes-3,Cryptophytes,Dinoflagellates-1,Raphido,Diatoms-1
5/14/2019,DFO2,1,0.087036304,0,0.188775674,0.432391331,0.750924846,1.021761556,0.303426437,0.4678771,2.747792959
6/11/2019,DFO2,1,0.027066277,0.006973212,0.000704225,0.150746544,0,0.25124495,0,0,3.120599826
7/6/2019,DFO2,1,0.105720417,0,0.125434322,0.323769371,0.216905437,0.311518942,0.416160444,0.118601305,3.647117933
8/5/2019,DFO2,1,0.365412066,0,0.096141276,0.676054716,0.48643294,1.145384212,0.241617315,0.441668714,0.692880015
9/2/2019,DFO2,1,0.059921301,0,0.002505812,0.355489274,0.001824698,0.303046743,0.406945328,0.142201013,5.658079147
10/4/2019,DFO2,1,0.004003283,0,0.028641776,0.376429607,0.31884782,0.213342677,0.168134453,0.177928048,0.264057942
5/4/2020,DFO2,1,0.017933069,0.062803975,0.019100017,0,0.083129507,0.124974466,0.492052759,0.177683726,1.706066191
6/6/2020,DFO2,1,0.039106331,0.053690129,0.050995048,0.088131828,0.166401898,0.151689964,0.247255748,0.18448363,0.367589697
7/6/2020,DFO2,1,0.073643029,0.039251405,1.42519E-05,0.104726123,0.158771321,0.160413173,0.113374131,0.168873231,0.373325561
8/8/2020,DFO2,1,0.027608973,0.056776527,0.000324803,0.190758864,0,0.059236651,0.133398718,0,1.721528331
9/5/2020,DFO2,1,0.032307774,0.024210919,0,0.075986562,0.069896846,0.065951812,0.06778392,0,0.221336057
10/4/2020,DFO2,1,0.008412476,0.025020437,0.025332477,0.133097495,0.060884684,0.085649285,0.120812419,0.087782322,0.665196329
5/11/2019,KC10,1,0.024941134,0,0.025396541,0.206741412,0.182387074,0.566059376,0.503107995,0.123902471,3.342721303
6/10/2019,KC10,1,0.037437614,0,0.165655735,0.191541215,0.204563948,0.309699183,0.306004678,0.131955451,3.322020253
7/10/2019,KC10,1,0.042662965,0,0.092966594,0.081109007,0.001754601,0.107349015,0.283197105,0.127645125,0.865310878
8/3/2019,KC10,1,0.109960645,0,0.15162014,0.041769601,0.222415184,0.30797268,0.166362022,0.153187141,0.468626092
9/1/2019,KC10,1,0.127002813,0.074841593,0.265905529,0.349504734,0.413753827,0.770481626,0.596638521,1.239499013,0.486989232
10/1/2019,KC10,1,0.040314438,0.039592796,0.035553558,0.026398277,0.158661274,0.1560442,0.112611274,0.211628502,0.033936766
4/30/2020,KC10,1,0.008005771,0.131720774,0.002425278,0,0.163582114,0.177939835,0.399890959,0,8.382818222
6/4/2020,KC10,1,0.052205817,0.052003523,0,0.119801981,0.133642804,0.294632698,0.231405981,0,1.883200367
7/2/2020,KC10,1,0.120439328,0.005927013,0.002472762,0.275924958,0.009843483,0.458055312,0.269522399,0,4.54986763
8/7/2020,KC10,1,0.040703597,0.070004104,0.087988059,0.109964633,0.002501802,0.176051281,0.205138077,0.158923874,2.348523895
9/3/2020,KC10,1,0.040142738,0.052184775,0.072887858,0.059739172,0.214631242,0.213190136,0.154810441,0,0.714439352
10/1/2020,KC10,1,0.022309831,0.05120481,0.055692809,0.117098082,0.142409454,0.231268848,0.331006745,0,0.913948506
5/13/2019,QCS01,1,0.417664682,0.006020905,0,0.299409293,0.003088907,0.371792242,0,0,11.05942011
6/9/2019,QCS01,1,0.045134961,0,0.120154358,0.079674858,0.131878962,0.123981994,0.208816792,0.149271429,1.928056141
7/7/2019,QCS01,1,0.107018227,0,0.276203985,0.224169917,0.001919943,0.250905752,0.503956939,0.176987305,3.217641751
8/6/2019,QCS01,1,0.171700752,0,0.501191591,0.058058958,0.429975887,0.281270877,0.577013974,0.22000278,2.975192587
8/31/2019,QCS01,1,0.095629438,0.442079961,0.489380941,0.524319773,0.264691281,0.839883715,0.880115986,0.696714362,0.593939622
10/5/2019,QCS01,1,0.055108909,0.180016403,0.268045252,0.067886902,0.135247899,0.2532033,0.22025909,0.173173904,0.579125255
5/1/2020,QCS01,1,0,0.123224511,0.001653508,0.12877168,0.001785149,0.122938371,0.288184797,0,4.371216536
6/8/2020,QCS01,1,0.04512926,0.042175094,0.054451535,0.115831998,0.12552839,0.17837316,0.21177919,0,1.592761795
7/5/2020,QCS01,1,0.126103281,0.088328632,0.000963826,0.179524206,0.195807616,0.237050893,0.220110799,0.108621384,2.832098524
9/4/2020,QCS01,1,0.290073281,0.16924962,0.270379672,0.216841068,0.36499016,0.354769846,0.20329118,0.305158868,0
10/2/2020,QCS01,1,0.029964114,0.055525367,0.044327029,0.048507342,0.106764011,0.09532362,0.148495005,0,0.286788722
